"Beta","Alpha","Pi","Gamma","S0","RSquare","RMSE","Real Beta","Real Alpha","Real Pi","Real Gamma","Real S0","Real RSquare","Real RMSE"
"1","0.0180503843611214","3.7856890507769","3.55182226169992e-05","2.97909009380616e-07","70.5890833648238","0.963720926973067","68.6152803441771","0.001","0.02","0.02","0.05","1500","0.772447965951892","1362.17995340722"
"2","0.0205181272702944","2.32632741943669","0.00670229398339629","0.000964683430273797","58.0649387799211","0.97801942962054","55.3096712502549","0.001","0.02","0.02","0.05","1500","0.851403547912733","1330.9384344352"
"3","4.52216928005745e-21","0.163842392596766","1.5752321454391e-07","4.47196720902724e-25","2.23670729180728e+20","0.979460448226379","2.23670729180728e+20","0.001","0.02","0.02","0.05","1500","0.918121287944385","1300.72989327192"
"4","0.0149417029893483","0.231654531968198","4.1133082189684e-05","4.02124248306115e-05","69.3702635599807","0.989297106233218","64.8592273924032","0.001","0.02","0.02","0.05","1500","0.914511089155098","1271.58267274619"
"5","0.0203668673646166","0.377513733932398","2.54421576337806e-07","3.87794837049214e-07","50.6645784285035","0.992778667902525","45.2514569376259","0.001","0.02","0.02","0.05","1500","0.910611646264843","1243.57963049005"
"6","1.08525222882586e-06","0.0924728443114635","2.12440388095915e-07","9.41996851728289e-05","996064.387554382","0.992007168464399","995635.221292651","0.001","0.02","0.02","0.05","1500","0.829057244788607","1216.36083139917"
"7","0.0117278820165643","0.147906510617899","0.000395546720663972","0.000175212534934604","91.0465618985156","0.99480491391204","82.6934057510321","0.001","0.02","0.02","0.05","1500","0.773041705997122","1190.10966861858"
"8","0.0132930686880588","0.202255978218378","0.000547802506726046","0.00371047271921482","78.0214955564451","0.99596415139226","67.0192669360541","0.001","0.02","0.02","0.05","1500","0.746085800786394","1164.86505872255"
"9","0.0134795085494367","0.153458936772376","7.45224451992043e-08","0.00225727708651134","80.1285036054325","0.996645594341296","68.1055721297942","0.001","0.02","0.02","0.05","1500","0.716976581892919","1140.47737373809"
"10","0.000767278215779485","0.0449394211004128","0.000161510355368564","0.000121816700986532","1638.67996598165","0.991865073087221","1623.29854989774","0.001","0.02","0.02","0.05","1500","0.634462510252646","1116.60118253974"
"11","2.68788163738661e-07","0.0456246861580161","4.43730615942268e-08","5.01452545676403e-20","4620963.64243046","0.994899169396344","4620946.84245818","0.001","0.02","0.02","0.05","1500","0.564088012310724","1093.3888348167"
"12","0.00606208535791258","0.069366278150596","0.000852091909331176","8.26313926333932e-07","194.253474709245","0.995015650190027","175.749487321221","0.001","0.02","0.02","0.05","1500","0.52842598489968","1071.01307305147"
