"Beta","Gamma","S0","RSquare","RMSE","Real Beta","Real Gamma","Real S0","Real RSquare","Real RMSE"
"1","1.15480017001952e-11","3.82955144850396e-11","40120282752.7038","0.895989095748161","0.779373919631878","3e-04","1e-04","2000","0.0254434852631681","2.38566800306889"
"2","0.00246815519903847","0.000559648268337732","183.219041833073","0.947157083731739","0.746850956026555","3e-04","1e-04","2000","-1.33057987791043","4.95989632636332"
"3","0.00308112470687424","0.0109647607182337","150.870722438247","0.978384897849084","0.691504884554234","3e-04","1e-04","2000","-3.07881924793277","9.49913104495827"
"4","1.31915083389181e-11","1.30312251180566e-12","34788625819.7014","0.984820572747823","1.00800444747522","3e-04","1e-04","2000","-2.9696250786657","16.3008231638624"
"5","0.000814326527057598","0.0197733789850876","598.069743211302","0.990645335884077","1.11475064827099","3e-04","1e-04","2000","-6.10160780035133","30.714398088961"
"6","0.00136955961237261","1.13472548195486e-05","336.278553033929","0.995801223479387","1.09906598419542","3e-04","1e-04","2000","-9.33567281518283","54.5295352582479"
"7","0.00155187515259082","0.000473507936939182","298.311963943621","0.998085314003063","1.05217313303497","3e-04","1e-04","2000","-14.2560492293911","93.9203054303953"
"8","0.000967392347334769","6.7857542297568e-13","469.237417589633","0.998774797906064","1.2097958387585","3e-04","1e-04","2000","-18.3455717454688","152.019408708097"
"9","0.000229065931187387","2.03863755584881e-05","1918.02182299479","0.998350904899491","2.11439988667597","3e-04","1e-04","2000","-17.9386124367163","226.588773101735"
"10","9.96794904630843e-05","5.36839964296142e-06","4372.44428455751","0.999236956917304","2.15477936001861","3e-04","1e-04","2000","-14.8978127803389","311.026217251011"
"11","0.000129620887108981","0.000702675820086416","3377.09689723427","0.999654415940757","2.12078929429534","3e-04","1e-04","2000","-10.866368914896","392.988297159012"
"12","4.31928990603353e-05","0.00305476712366997","10143.9151404923","0.999825947919701","2.05445938794764","3e-04","1e-04","2000","-7.93268666913852","465.424279197557"
"13","0.000212422466298971","0.00193096063972408","2090.31295566193","0.999644043819592","3.85036256743223","3e-04","1e-04","2000","-5.51466865407328","520.894211894939"
"14","0.000274611558793314","0.00112754063782416","1626.05651543017","0.999694583710419","4.50231443654743","3e-04","1e-04","2000","-3.70043817317756","558.545939208413"
"15","0.000296483955269925","0.000464937464156531","1509.36377574309","0.999785017729574","4.57373059145377","3e-04","1e-04","2000","-2.48312269363194","582.175114665521"
"16","0.000296502663165041","1.87615651646856e-05","1506.95778850908","0.999842563256276","4.58371939542475","3e-04","1e-04","2000","-1.65228489582111","594.942588520373"
"17","0.000294214983680726","2.91571565999874e-08","1517.11129672515","0.999872858974467","4.6784672811981","3e-04","1e-04","2000","-1.09536257117271","600.606928441398"
"18","0.000294537027624402","2.24774321394221e-07","1515.73245801557","0.999900122751477","4.57814740911845","3e-04","1e-04","2000","-0.729359060167055","602.419573166446"
"19","0.000293520165981189","0.000252327016149431","1521.52633250626","0.99991640282631","4.52480455392108","3e-04","1e-04","2000","-0.479413092773396","601.933840651338"
"20","0.000293323258292831","0.000262744651660361","1522.46536259735","0.999928991457958","4.43025794480916","3e-04","1e-04","2000","-0.302997948588377","600.13034164949"
"21","0.00029465571344769","0.000172311958368639","1516.02164585939","0.999934917025705","4.45206166523412","3e-04","1e-04","2000","-0.171648853281145","597.346350991009"
"22","0.000294744257396303","0.000165700737041286","1515.65172140222","0.999942011358026","4.36497067391446","3e-04","1e-04","2000","-0.0749259238707893","594.290965320366"
"23","0.000294477994785032","0.000182469520163815","1516.88326605263","0.999947119120645","4.29387461275952","3e-04","1e-04","2000","-0.00243783014093779","591.192271231299"
"24","0.000294498045150484","0.000181842417411503","1516.77888879048","0.999951332707639","4.21669384469984","3e-04","1e-04","2000","0.0533619360123041","588.092256070636"
"25","0.000294914842501859","0.000164772551873973","1514.93828198786","0.999953096787042","4.21787725365011","3e-04","1e-04","2000","0.0980260911026348","584.91078002717"
"26","0.000295228739321919","0.000152969597595067","1513.60953230783","0.999954939148383","4.19570438476404","3e-04","1e-04","2000","0.133649215137269","581.770991399706"
"27","0.000295508665087439","0.000141754478455419","1512.36797156029","0.999956148468049","4.18740776181435","3e-04","1e-04","2000","0.162636731354929","578.64181514404"
