1,889
2,977
3,1095
4,1199
5,1374
6,1543
7,1737
8,1895
9,2018
10,2325
11,2391
12,2369
13,2349
14,2492
15,2913
16,3040
17,3641
18,4427
19,5132
20,6359
21,7904
22,8618
23,10112
24,10555
25,9408
26,7209
27,5541
28,4555
29,4240
30,3784
31,3504
32,3242
33,2894
34,2673
35,2482
36,2121
37,1747
38,1681
39,1534
40,1438
41,1286
42,1165
43,1149
44,1063
45,1024
46,997
47,966
48,925
49,941
50,907
51,956
52,850
53,869
54,907
55,952
56,977
57,1085
58,1154
59,1259
60,1350
61,1363
62,1405
63,1354
64,1445
65,1460
66,1560
67,1628
68,1661
69,1708
70,2043
71,2238
72,3196
73,4625
74,5008
75,4691
76,4486
77,4022
78,3472
79,2910
80,2496
81,2228
82,1986
83,1873
84,1773
85,1738
86,1750
87,1778
88,1771
89,1607
90,1530
91,1467
92,1415
93,1339
94,1289
95,1318
96,1155
97,1071
98,1054
99,995
100,990
101,964
102,1028
103,1008
104,1023
105,1063
106,984
