"V1","V2"
"1",0,67
"3",2,72
"5",4,73
"7",6,67
"9",8,66
"11",10,86
"13",12,73
"15",14,59
"17",16,88
"19",18,87
"21",20,89
"23",22,48
"25",24,91
"27",26,58
"29",28,32
"31",30,45
"33",32,40
"35",34,89
"37",36,43
"39",38,112
"41",40,253
"43",42,342
"45",44,406
"47",46,492
"49",48,675
"51",50,832
"53",52,816
"55",54,612
"57",56,713
"59",58,641
"61",60,774
"63",62,858
"65",64,879
"67",66,985
"69",68,1230
"71",70,1693
"73",72,1175
"75",74,1181
"77",76,1140
"79",78,1405
"81",80,1727
"83",82,1645
"85",84,1740
"87",86,1653
"89",88,1216
"91",90,1349
"93",92,1089
"95",94,1826
"97",96,2197
"99",98,1645
"101",100,2256
"103",102,2281
"105",104,1564
"107",106,1385
"109",108,1978
"111",110,1301
"113",112,1841
"115",114,1756
"117",116,2436
"119",118,1254
"121",120,2032
"123",122,1397
"125",124,1062
"127",126,1104
"129",128,1091
"131",130,896
"133",132,920
"135",134,600
"137",136,1355
"139",138,1386
"141",140,2748
"143",142,2444
"145",144,2681
"147",146,2183
"149",148,1688
"151",150,1871
"153",152,2263
"155",154,2498
"157",156,2678
"159",158,2471
"161",160,2388
"163",162,1419
"165",164,1536
"167",166,1894
"169",168,1901
"171",170,2355
"173",172,1875
"175",174,1793
"177",176,1590
"179",178,1031
"181",180,1711
"183",182,1730
"185",184,1430
"187",186,2429
"189",188,2414
"191",190,2420
"193",192,538
"195",194,653
"197",196,1062
"199",198,1579
"201",200,1300
"203",202,1917
"205",204,1443
"207",206,718
"209",208,1141
"211",210,981
"213",212,598
"215",214,1644
"217",216,1244
"219",218,777
"221",220,753
"223",222,480
"225",224,1199
"227",226,557
"229",228,1509
"231",230,900
"233",232,1473
"235",234,1952
"237",236,1
"239",238,1
"241",240,1
"243",242,14
"245",244,17
"247",246,1
"249",248,0
"251",250,2
"253",252,0
"255",254,611
"257",256,4
"259",258,2046
"261",260,2101
"263",262,2026
"265",264,1890
"267",266,2344
"269",268,2979
"271",270,3925
"273",272,3863
"275",274,4521
"277",276,4083
"279",278,2405
"281",280,4231
"283",282,4301
"285",284,4277
"287",286,3864
"289",288,4554
"291",290,4366
"293",292,4463
"295",294,3784
"297",296,4710
"299",298,4356
"301",300,3229
"303",302,2198
"305",304,2134
"307",306,2070
"309",308,2070
"311",310,2394
"313",312,2212
"315",314,2039
"317",316,2271
"319",318,2255
"321",320,2092
"323",322,2290
"325",324,2143
"327",326,2137
"329",328,2379
"331",330,2402
"333",332,2457
"335",334,2315
"337",336,2235
"339",338,2588
"341",340,2454
"343",342,2448
"345",344,2756
"347",346,2720
"349",348,2612
"351",350,2686
"353",352,3009
"355",354,3205
"357",356,3461
"359",358,3719
"361",360,3927
"363",362,3993
"365",364,3655
"367",366,4214
"369",368,3577
"371",370,3622
"373",372,3926
"375",374,3940
"377",376,3746
"379",378,3668
"381",380,4168
"383",382,3969
"385",384,3824
"387",386,3994
"389",388,3460
"391",390,3588
"393",392,3719
"395",394,3788
"397",396,3620
"399",398,3570
"401",400,3718
"403",402,3738
"405",404,3570
"407",406,3570
"409",408,3873
"411",410,4154
"413",412,4222
"415",414,4001
"417",416,4041
"419",418,3033
"421",420,3677
"423",422,3868
"425",424,3676
"427",426,3509
"429",428,3591
"431",430,3442
"433",432,4108
"435",434,4078
"437",436,3708
"439",438,3848
"441",440,3840
"443",442,3631
"445",444,3735
"447",446,3673
"449",448,3692
"451",450,3764
"453",452,3549
"455",454,3510
"457",456,3735
"459",458,3664
"461",460,3590
"463",462,3426
"465",464,3754
"467",466,3733
"469",468,3722
"471",470,3681
"473",472,3657
"475",474,3822
"477",476,3676
"479",478,4423
"481",480,4265
"483",482,4441
"485",484,4767
"487",486,5107
"489",488,3861
"491",490,6369
"493",492,8636
"495",494,6030
"497",496,5412
"499",498,5612
"501",500,5214
"503",502,5290
"505",504,5096
"507",506,5186
"509",508,4881
"511",510,4692
"513",512,5242
"515",514,4631
"517",516,4515
"519",518,4558
"521",520,4449
"523",522,4257
"525",524,4340
"527",526,4342
"529",528,4513
"531",530,4344
"533",532,4496
"535",534,4483
"537",536,4543
"539",538,4041
"541",540,4456
"543",542,4277
"545",544,4075
"547",546,4163
"549",548,4191
"551",550,3907
"553",552,4126
"555",554,3979
"557",556,3874
"559",558,4169
"561",560,5483
"563",562,5313
"565",564,5072
"567",566,5262
