YEAR,WEEK,TOTAL SPECIMENS,A (H1),A (Unable to Subtype),A (H3),2009 H1N1,A (Subtyping not Performed),B,PERCENT POSITIVE
2010,40,3600,0,0,18,7,29,23,2.13888888888889
2010,41,4006,0,0,36,13,43,36,3.19520718921618
2010,42,4112,0,0,35,8,51,45,3.38035019455253
2010,43,4240,0,0,56,13,45,52,3.91509433962264
2010,44,4608,0,0,61,12,68,106,5.36024305555556
2010,45,5377,0,0,79,15,93,163,6.50920587688302
2010,46,5578,0,0,123,23,104,237,8.73072785944783
2010,47,5533,0,0,155,11,156,265,10.609072835713
2010,48,5975,0,0,176,35,126,260,9.99163179916318
2010,49,6361,0,0,359,48,126,310,13.2526332337683
2010,50,7692,0,0,551,83,274,542,18.8507540301612
2010,51,8172,0,0,789,112,456,689,25.0367107195301
2010,52,9030,0,0,1015,197,512,648,26.2679955703212
2011,1,10441,0,0,1159,346,551,572,25.170002873288
2011,2,10190,0,0,1216,557,626,585,29.2836113837095
2011,3,11067,0,0,1437,832,700,741,33.5230866540164
2011,4,12950,0,0,1524,1074,877,972,34.3397683397683
2011,5,13875,0,0,1481,1231,1073,1127,35.4018018018018
2011,6,14647,0,0,1488,1267,1145,1177,34.6623882023623
2011,7,16401,0,0,1570,1432,1360,1354,34.8515334430827
2011,8,15033,0,0,1235,1170,1048,1204,30.9785139360074
2011,9,12990,0,0,997,954,738,884,27.5057736720554
2011,10,11625,0,0,858,714,503,691,23.7935483870968
2011,11,9860,0,0,609,457,371,563,20.2839756592292
2011,12,8443,0,0,426,264,265,406,16.1198626080777
2011,13,7107,0,0,283,168,166,293,12.804277472914
2011,14,6481,0,0,208,87,87,254,9.81330041660238
2011,15,5615,0,0,141,46,54,159,7.12377560106857
2011,16,4642,0,0,60,30,29,86,4.41619991383025
2011,17,3976,0,0,28,10,32,63,3.34507042253521
2011,18,3611,0,0,23,11,10,25,1.91082802547771
2011,19,3271,0,0,11,2,8,15,1.10058086212168
2011,20,3079,0,0,6,3,4,13,0.844430009743423
2011,21,2705,0,0,4,3,6,5,0.66543438077634
2011,22,2442,0,0,0,2,5,6,0.532350532350532
2011,23,2259,0,0,0,0,2,4,0.265604249667995
2011,24,2109,0,0,1,2,6,0,0.42674253200569
2011,25,1967,0,0,0,0,2,3,0.25419420437214
2011,26,1560,0,0,0,2,1,1,0.256410256410256
2011,27,1498,0,0,1,2,1,1,0.333778371161549
2011,28,1500,0,0,4,0,1,4,0.6
2011,29,1500,0,0,4,0,1,5,0.666666666666667
2011,30,1307,0,0,1,0,2,1,0.306044376434583
2011,31,1428,0,0,2,3,3,3,0.7703081232493
2011,32,1433,0,0,3,1,7,2,0.907187718073971
2011,33,1506,0,1,5,2,5,3,1.06241699867198
2011,34,1705,0,0,5,0,6,6,0.997067448680352
2011,35,1925,0,0,3,2,9,1,0.779220779220779
2011,36,2056,0,0,3,1,7,2,0.632295719844358
2011,37,2326,0,0,6,0,11,4,0.902837489251935
2011,38,2612,0,0,5,0,8,8,0.803981623277182
2011,39,2920,0,0,18,1,10,6,1.1986301369863
