"Time","Lorde, Royals (US Version): Plays - VEVO"
2014/08/17 00:00:00,479088
2014/08/16 00:00:00,594123
2014/08/15 00:00:00,614462
2014/08/14 00:00:00,573546
2014/08/13 00:00:00,592177
2014/08/12 00:00:00,536797
2014/08/11 00:00:00,542548
2014/08/10 00:00:00,561892
2014/08/09 00:00:00,589451
2014/08/08 00:00:00,621373
2014/08/07 00:00:00,587118
2014/08/06 00:00:00,607289
2014/08/05 00:00:00,594419
2014/08/04 00:00:00,491525
2014/08/03 00:00:00,699250
2014/08/02 00:00:00,642855
2014/08/01 00:00:00,532764
2014/07/31 00:00:00,642454
2014/07/30 00:00:00,574170
2014/07/29 00:00:00,635560
2014/07/28 00:00:00,464369
2014/07/27 00:00:00,682492
2014/07/26 00:00:00,624129
2014/07/25 00:00:00,616246
2014/07/24 00:00:00,644799
2014/07/23 00:00:00,641123
2014/07/22 00:00:00,676747
2014/07/21 00:00:00,548701
2014/07/20 00:00:00,645315
2014/07/19 00:00:00,658749
2014/07/18 00:00:00,686604
2014/07/17 00:00:00,737167
2014/07/16 00:00:00,686245
2014/07/15 00:00:00,593435
2014/07/14 00:00:00,536884
2014/07/13 00:00:00,567538
2014/07/12 00:00:00,629080
2014/07/11 00:00:00,668034
2014/07/10 00:00:00,526856
2014/07/09 00:00:00,482730
2014/07/08 00:00:00,648440
2014/07/07 00:00:00,
2014/07/06 00:00:00,
2014/07/05 00:00:00,125908
2014/07/04 00:00:00,567116
2014/07/03 00:00:00,546924
2014/07/02 00:00:00,647729
2014/07/01 00:00:00,548926
2014/06/30 00:00:00,542499
2014/06/29 00:00:00,647084
2014/06/28 00:00:00,647295
2014/06/27 00:00:00,631179
2014/06/26 00:00:00,638553
2014/06/25 00:00:00,707215
2014/06/24 00:00:00,604896
2014/06/23 00:00:00,619537
2014/06/22 00:00:00,606809
2014/06/21 00:00:00,675378
2014/06/20 00:00:00,738139
2014/06/19 00:00:00,641584
2014/06/18 00:00:00,693863
2014/06/17 00:00:00,703201
2014/06/16 00:00:00,604356
2014/06/15 00:00:00,688287
2014/06/14 00:00:00,714509
2014/06/13 00:00:00,823938
2014/06/12 00:00:00,698076
2014/06/11 00:00:00,628269
2014/06/10 00:00:00,627947
2014/06/09 00:00:00,710812
2014/06/08 00:00:00,760735
2014/06/07 00:00:00,865572
2014/06/06 00:00:00,681680
2014/06/05 00:00:00,660858
2014/06/04 00:00:00,32395
2014/06/03 00:00:00,512223
2014/06/02 00:00:00,509061
2014/06/01 00:00:00,592097
2014/05/31 00:00:00,546429
2014/05/30 00:00:00,611399
2014/05/29 00:00:00,530882
2014/05/28 00:00:00,461666
2014/05/27 00:00:00,496251
2014/05/26 00:00:00,473224
2014/05/25 00:00:00,547837
2014/05/24 00:00:00,562212
2014/05/23 00:00:00,561503
2014/05/22 00:00:00,552854
2014/05/21 00:00:00,564983
2014/05/20 00:00:00,537445
2014/05/19 00:00:00,546779
2014/05/18 00:00:00,557394
2014/05/17 00:00:00,711695
2014/05/16 00:00:00,760352
2014/05/15 00:00:00,319037
2014/05/14 00:00:00,521847
2014/05/13 00:00:00,517904
2014/05/12 00:00:00,463614
2014/05/11 00:00:00,594790
