"Time","Gotye: Plays - YouTube"
2014/08/17 00:00:00,338715
2014/08/16 00:00:00,398675
2014/08/15 00:00:00,409296
2014/08/14 00:00:00,377487
2014/08/13 00:00:00,384616
2014/08/12 00:00:00,376644
2014/08/11 00:00:00,358435
2014/08/10 00:00:00,351127
2014/08/09 00:00:00,380394
2014/08/08 00:00:00,394546
2014/08/07 00:00:00,383851
2014/08/06 00:00:00,374645
2014/08/05 00:00:00,343122
2014/08/04 00:00:00,342106
2014/08/03 00:00:00,336049
2014/08/02 00:00:00,363412
2014/08/01 00:00:00,378067
2014/07/31 00:00:00,363394
2014/07/30 00:00:00,378504
2014/07/29 00:00:00,358191
2014/07/28 00:00:00,344206
2014/07/27 00:00:00,337544
2014/07/26 00:00:00,382182
2014/07/25 00:00:00,363218
2014/07/24 00:00:00,352945
2014/07/23 00:00:00,355974
2014/07/22 00:00:00,369147
2014/07/21 00:00:00,298727
2014/07/20 00:00:00,334169
2014/07/19 00:00:00,378088
2014/07/18 00:00:00,406851
2014/07/17 00:00:00,392634
2014/07/16 00:00:00,423590
2014/07/15 00:00:00,380919
2014/07/14 00:00:00,358075
2014/07/13 00:00:00,362819
2014/07/12 00:00:00,411797
2014/07/11 00:00:00,375247
2014/07/10 00:00:00,348798
2014/07/09 00:00:00,340691
2014/07/08 00:00:00,344484
2014/07/07 00:00:00,342647
2014/07/06 00:00:00,342639
2014/07/05 00:00:00,353681
2014/07/04 00:00:00,400735
2014/07/03 00:00:00,401404
2014/07/02 00:00:00,379097
2014/07/01 00:00:00,362685
2014/06/30 00:00:00,345359
2014/06/29 00:00:00,330982
2014/06/28 00:00:00,358332
2014/06/27 00:00:00,384181
2014/06/26 00:00:00,374765
2014/06/25 00:00:00,356124
2014/06/24 00:00:00,370263
2014/06/23 00:00:00,335255
2014/06/22 00:00:00,354107
2014/06/21 00:00:00,396166
2014/06/20 00:00:00,380030
2014/06/19 00:00:00,368235
2014/06/18 00:00:00,364096
2014/06/17 00:00:00,359167
2014/06/16 00:00:00,309375
2014/06/15 00:00:00,347000
2014/06/14 00:00:00,386400
2014/06/13 00:00:00,390255
2014/06/12 00:00:00,386933
2014/06/11 00:00:00,397683
2014/06/10 00:00:00,335945
2014/06/09 00:00:00,330295
2014/06/08 00:00:00,370057
2014/06/07 00:00:00,434204
2014/06/06 00:00:00,399571
2014/06/05 00:00:00,395957
2014/06/04 00:00:00,393843
2014/06/03 00:00:00,376453
2014/06/02 00:00:00,378512
2014/06/01 00:00:00,420154
2014/05/31 00:00:00,434293
2014/05/30 00:00:00,454545
2014/05/29 00:00:00,430663
2014/05/28 00:00:00,400021
2014/05/27 00:00:00,353323
2014/05/26 00:00:00,372205
2014/05/25 00:00:00,375562
2014/05/24 00:00:00,429878
2014/05/23 00:00:00,409733
2014/05/22 00:00:00,417763
2014/05/21 00:00:00,410427
2014/05/20 00:00:00,402768
2014/05/19 00:00:00,358896
2014/05/18 00:00:00,393418
2014/05/17 00:00:00,425485
2014/05/16 00:00:00,623091
2014/05/15 00:00:00,279651
2014/05/14 00:00:00,339598
2014/05/13 00:00:00,405837
2014/05/12 00:00:00,320478
2014/05/11 00:00:00,334192
2014/05/10 00:00:00,400792
2014/05/09 00:00:00,417860
2014/05/08 00:00:00,262719
2014/05/07 00:00:00,270064
2014/05/06 00:00:00,289363
2014/05/05 00:00:00,278908
2014/05/04 00:00:00,318858
2014/05/03 00:00:00,359579
2014/05/02 00:00:00,345819
2014/05/01 00:00:00,340882
2014/04/30 00:00:00,306950
2014/04/29 00:00:00,336478
2014/04/28 00:00:00,323499
2014/04/27 00:00:00,727227
2014/04/26 00:00:00,757585
2014/04/25 00:00:00,325658
2014/04/24 00:00:00,778985
2014/04/23 00:00:00,251059
2014/04/22 00:00:00,694838
2014/04/21 00:00:00,278178
2014/04/20 00:00:00,293034
2014/04/19 00:00:00,497653
2014/04/18 00:00:00,248079
2014/04/17 00:00:00,314279
2014/04/16 00:00:00,328742
2014/04/15 00:00:00,311204
2014/04/14 00:00:00,283363
2014/04/13 00:00:00,316045
2014/04/12 00:00:00,346072
2014/04/11 00:00:00,277553
2014/04/10 00:00:00,242453
2014/04/09 00:00:00,326679
2014/04/08 00:00:00,380212
2014/04/07 00:00:00,215167
2014/04/06 00:00:00,333704
2014/04/05 00:00:00,360898
2014/04/04 00:00:00,454714
2014/04/03 00:00:00,330897
2014/04/02 00:00:00,285843
2014/04/01 00:00:00,292356
2014/03/31 00:00:00,253017
2014/03/30 00:00:00,310065
2014/03/29 00:00:00,330715
2014/03/28 00:00:00,311651
2014/03/27 00:00:00,325611
2014/03/26 00:00:00,357453
2014/03/25 00:00:00,312430
2014/03/24 00:00:00,314953
2014/03/23 00:00:00,419218
2014/03/22 00:00:00,324780
2014/03/21 00:00:00,344914
2014/03/20 00:00:00,341797
2014/03/19 00:00:00,319596
2014/03/18 00:00:00,308116
2014/03/17 00:00:00,303204
2014/03/16 00:00:00,361130
2014/03/15 00:00:00,371569
2014/03/14 00:00:00,337583
2014/03/13 00:00:00,331078
2014/03/12 00:00:00,325252
2014/03/11 00:00:00,340321
2014/03/10 00:00:00,305851
2014/03/09 00:00:00,360694
2014/03/08 00:00:00,382480
2014/03/07 00:00:00,380958
2014/03/06 00:00:00,350532
2014/03/05 00:00:00,343632
2014/03/04 00:00:00,341922
2014/03/03 00:00:00,323615
2014/03/02 00:00:00,385091
2014/03/01 00:00:00,393209
2014/02/28 00:00:00,378851
2014/02/27 00:00:00,363371
2014/02/26 00:00:00,370562
2014/02/25 00:00:00,358789
2014/02/24 00:00:00,341805
2014/02/23 00:00:00,395873
2014/02/22 00:00:00,451825
2014/02/21 00:00:00,378791
2014/02/20 00:00:00,376445
2014/02/19 00:00:00,401876
2014/02/18 00:00:00,320621
2014/02/17 00:00:00,352089
2014/02/16 00:00:00,387983
2014/02/15 00:00:00,410124
2014/02/14 00:00:00,375106
2014/02/13 00:00:00,427651
2014/02/12 00:00:00,317867
2014/02/11 00:00:00,324893
2014/02/10 00:00:00,309007
2014/02/09 00:00:00,367349
2014/02/08 00:00:00,383608
2014/02/07 00:00:00,398654
2014/02/06 00:00:00,372409
2014/02/05 00:00:00,355370
2014/02/04 00:00:00,251051
2014/02/03 00:00:00,261170
2014/02/02 00:00:00,335489
2014/02/01 00:00:00,397196
2014/01/31 00:00:00,356895
2014/01/30 00:00:00,367025
2014/01/29 00:00:00,370591
2014/01/28 00:00:00,367231
2014/01/27 00:00:00,326797
2014/01/26 00:00:00,358111
2014/01/25 00:00:00,380162
2014/01/24 00:00:00,369763
2014/01/23 00:00:00,358955
2014/01/22 00:00:00,370460
2014/01/21 00:00:00,370745
2014/01/20 00:00:00,357401
2014/01/19 00:00:00,392319
2014/01/18 00:00:00,448124
2014/01/17 00:00:00,359826
2014/01/16 00:00:00,444077
2014/01/15 00:00:00,416882
2014/01/14 00:00:00,385224
2014/01/13 00:00:00,391491
2014/01/12 00:00:00,411735
2014/01/11 00:00:00,446037
2014/01/10 00:00:00,416561
2014/01/09 00:00:00,398402
2014/01/08 00:00:00,399692
2014/01/07 00:00:00,349598
2014/01/06 00:00:00,335389
2014/01/05 00:00:00,369820
2014/01/04 00:00:00,394518
2014/01/03 00:00:00,396932
2014/01/02 00:00:00,349264
2014/01/01 00:00:00,393511
2013/12/31 00:00:00,423337
2013/12/30 00:00:00,364584
2013/12/29 00:00:00,359886
2013/12/28 00:00:00,366374
2013/12/27 00:00:00,371217
2013/12/26 00:00:00,336468
2013/12/25 00:00:00,339600
2013/12/24 00:00:00,364034
2013/12/23 00:00:00,348551
2013/12/22 00:00:00,339387
2013/12/21 00:00:00,367530
2013/12/20 00:00:00,347926
2013/12/19 00:00:00,326250
2013/12/18 00:00:00,323209
2013/12/17 00:00:00,285301
2013/12/16 00:00:00,283403
2013/12/15 00:00:00,340459
2013/12/14 00:00:00,462737
2013/12/13 00:00:00,306225
2013/12/12 00:00:00,314393
2013/12/11 00:00:00,331712
2013/12/10 00:00:00,335772
2013/12/09 00:00:00,337494
2013/12/08 00:00:00,406919
2013/12/07 00:00:00,466223
2013/12/06 00:00:00,425062
2013/12/05 00:00:00,418026
2013/12/04 00:00:00,376439
2013/12/03 00:00:00,388811
2013/12/02 00:00:00,336597
2013/12/01 00:00:00,404252
2013/11/30 00:00:00,443884
2013/11/29 00:00:00,413612
2013/11/28 00:00:00,354087
2013/11/27 00:00:00,384614
2013/11/26 00:00:00,319208
2013/11/25 00:00:00,356002
2013/11/24 00:00:00,420659
2013/11/23 00:00:00,476257
2013/11/22 00:00:00,459268
2013/11/21 00:00:00,423061
2013/11/20 00:00:00,618462
2013/11/19 00:00:00,130044
2013/11/18 00:00:00,246190
2013/11/17 00:00:00,420858
2013/11/16 00:00:00,435643
2013/11/15 00:00:00,415141
2013/11/14 00:00:00,381286
2013/11/13 00:00:00,316484
2013/11/12 00:00:00,365416
2013/11/11 00:00:00,353598
2013/11/10 00:00:00,419170
2013/11/09 00:00:00,466731
2013/11/08 00:00:00,445730
2013/11/07 00:00:00,382930
2013/11/06 00:00:00,398053
2013/11/05 00:00:00,318276
2013/11/04 00:00:00,342255
2013/11/03 00:00:00,367640
2013/11/02 00:00:00,395861
2013/11/01 00:00:00,344673
2013/10/31 00:00:00,497890
2013/10/30 00:00:00,215332
2013/10/29 00:00:00,333520
2013/10/28 00:00:00,343151
2013/10/27 00:00:00,411331
2013/10/26 00:00:00,403084
2013/10/25 00:00:00,366625
2013/10/24 00:00:00,388503
2013/10/23 00:00:00,372347
2013/10/22 00:00:00,279560
2013/10/21 00:00:00,341781
2013/10/20 00:00:00,388561
2013/10/19 00:00:00,426543
2013/10/18 00:00:00,397662
2013/10/17 00:00:00,355366
2013/10/16 00:00:00,340874
2013/10/15 00:00:00,330708
2013/10/14 00:00:00,311156
2013/10/13 00:00:00,378307
2013/10/12 00:00:00,425223
2013/10/11 00:00:00,332949
2013/10/10 00:00:00,373640
2013/10/09 00:00:00,376935
2013/10/08 00:00:00,279384
2013/10/07 00:00:00,332382
2013/10/06 00:00:00,337874
2013/10/05 00:00:00,388426
2013/10/04 00:00:00,333523
2013/10/03 00:00:00,302329
2013/10/02 00:00:00,323090
2013/10/01 00:00:00,323446
2013/09/30 00:00:00,307834
2013/09/29 00:00:00,285354
2013/09/28 00:00:00,280126
2013/09/27 00:00:00,219323
2013/09/26 00:00:00,239993
2013/09/25 00:00:00,227705
2013/09/24 00:00:00,235090
2013/09/23 00:00:00,201264
2013/09/22 00:00:00,246631
2013/09/21 00:00:00,267366
2013/09/20 00:00:00,230622
2013/09/19 00:00:00,224144
2013/09/18 00:00:00,216351
2013/09/17 00:00:00,239335
2013/09/16 00:00:00,184784
2013/09/15 00:00:00,262433
2013/09/14 00:00:00,282673
2013/09/13 00:00:00,270050
2013/09/12 00:00:00,240474
2013/09/11 00:00:00,254529
2013/09/10 00:00:00,241634
2013/09/09 00:00:00,260746
2013/09/08 00:00:00,279573
2013/09/07 00:00:00,301366
2013/09/06 00:00:00,265226
2013/09/05 00:00:00,305100
2013/09/04 00:00:00,225250
2013/09/03 00:00:00,241993
2013/09/02 00:00:00,245917
2013/09/01 00:00:00,268502
2013/08/31 00:00:00,280851
2013/08/30 00:00:00,251369
2013/08/29 00:00:00,275261
2013/08/28 00:00:00,239095
2013/08/27 00:00:00,242967
2013/08/26 00:00:00,239894
2013/08/25 00:00:00,271710
2013/08/24 00:00:00,282646
2013/08/23 00:00:00,291083
2013/08/22 00:00:00,241553
2013/08/21 00:00:00,295176
2013/08/20 00:00:00,194352
2013/08/19 00:00:00,235555
2013/08/18 00:00:00,246313
2013/08/17 00:00:00,322653
2013/08/16 00:00:00,193487
2013/08/15 00:00:00,301577
2013/08/14 00:00:00,269102
2013/08/13 00:00:00,240002
2013/08/12 00:00:00,220124
2013/08/11 00:00:00,246989
2013/08/10 00:00:00,255625
2013/08/09 00:00:00,282851
2013/08/08 00:00:00,203894
2013/08/07 00:00:00,245323
2013/08/06 00:00:00,201867
2013/08/05 00:00:00,231013
2013/08/04 00:00:00,245099
2013/08/03 00:00:00,257349
2013/08/02 00:00:00,247910
2013/08/01 00:00:00,244696
2013/07/31 00:00:00,262655
2013/07/30 00:00:00,230640
2013/07/29 00:00:00,215165
2013/07/28 00:00:00,237115
2013/07/27 00:00:00,264006
2013/07/26 00:00:00,241800
2013/07/25 00:00:00,207588
2013/07/24 00:00:00,222103
2013/07/23 00:00:00,253867
2013/07/22 00:00:00,224336
2013/07/21 00:00:00,238182
2013/07/20 00:00:00,242796
2013/07/19 00:00:00,239014
2013/07/18 00:00:00,232453
2013/07/17 00:00:00,236445
2013/07/16 00:00:00,241947
2013/07/15 00:00:00,226191
2013/07/14 00:00:00,240774
2013/07/13 00:00:00,253577
2013/07/12 00:00:00,244046
2013/07/11 00:00:00,234471
2013/07/10 00:00:00,223144
2013/07/09 00:00:00,229732
2013/07/08 00:00:00,215579
2013/07/07 00:00:00,237952
2013/07/06 00:00:00,242537
2013/07/05 00:00:00,256075
2013/07/04 00:00:00,240997
2013/07/03 00:00:00,243062
2013/07/02 00:00:00,234791
2013/07/01 00:00:00,252503
2013/06/30 00:00:00,256290
2013/06/29 00:00:00,264475
2013/06/28 00:00:00,235367
2013/06/27 00:00:00,333287
2013/06/26 00:00:00,271869
2013/06/25 00:00:00,261174
2013/06/24 00:00:00,655651
2013/06/23 00:00:00,283582
2013/06/22 00:00:00,312495
2013/06/21 00:00:00,287385
2013/06/20 00:00:00,296191
2013/06/19 00:00:00,264311
2013/06/18 00:00:00,262845
2013/06/17 00:00:00,232651
2013/06/16 00:00:00,297260
2013/06/15 00:00:00,240376
2013/06/14 00:00:00,140502
2013/06/13 00:00:00,152511
2013/06/12 00:00:00,215655
2013/06/11 00:00:00,285727
2013/06/10 00:00:00,320662
2013/06/09 00:00:00,335285
2013/06/08 00:00:00,299832
2013/06/07 00:00:00,329222
2013/06/06 00:00:00,305480
2013/06/05 00:00:00,325893
2013/06/04 00:00:00,323545
2013/06/03 00:00:00,327245
2013/06/02 00:00:00,390447
2013/06/01 00:00:00,373806
2013/05/31 00:00:00,381444
2013/05/30 00:00:00,375750
2013/05/29 00:00:00,372114
2013/05/28 00:00:00,369633
2013/05/27 00:00:00,355912
2013/05/26 00:00:00,380637
2013/05/25 00:00:00,408420
2013/05/24 00:00:00,383403
2013/05/23 00:00:00,358685
2013/05/22 00:00:00,358983
2013/05/21 00:00:00,364745
2013/05/20 00:00:00,414562
2013/05/19 00:00:00,400932
2013/05/18 00:00:00,395321
2013/05/17 00:00:00,413130
2013/05/16 00:00:00,365380
2013/05/15 00:00:00,393239
2013/05/14 00:00:00,297754
2013/05/13 00:00:00,332746
2013/05/12 00:00:00,390551
2013/05/11 00:00:00,408538
2013/05/10 00:00:00,374186
2013/05/09 00:00:00,341667
2013/05/08 00:00:00,349624
2013/05/07 00:00:00,379985
