"Time","Robin Thicke: Plays - Total"
2012/11/25 00:00:00,254774
2012/11/18 00:00:00,283413
2012/11/11 00:00:00,268773
2012/11/04 00:00:00,266426
2012/10/28 00:00:00,262113
2012/10/21 00:00:00,269260
2012/10/14 00:00:00,261744
2012/10/07 00:00:00,260122
2012/09/30 00:00:00,258650
2012/09/23 00:00:00,248903
2012/09/16 00:00:00,243015
2012/09/09 00:00:00,256742
2012/09/02 00:00:00,216782
2012/08/26 00:00:00,251693
2012/08/19 00:00:00,205656
2012/08/12 00:00:00,243240
2012/08/05 00:00:00,260010
2012/07/29 00:00:00,263221
2012/07/22 00:00:00,402577
2012/07/15 00:00:00,254919
2012/07/08 00:00:00,219992
2012/07/01 00:00:00,353292
2012/06/24 00:00:00,432684
2012/06/17 00:00:00,557324
2012/06/10 00:00:00,760812
2012/06/03 00:00:00,1139034
2012/05/27 00:00:00,832005
2012/05/20 00:00:00,421121
2012/05/13 00:00:00,43910256
2012/05/06 00:00:00,148086
2012/04/29 00:00:00,112470
2012/04/22 00:00:00,118721
2012/04/15 00:00:00,120437
2012/04/08 00:00:00,131429
2012/04/01 00:00:00,141657
2012/03/25 00:00:00,164405
2012/03/18 00:00:00,2022718
2012/03/11 00:00:00,579557
2012/03/04 00:00:00,401832
2012/02/26 00:00:00,906611
2012/02/19 00:00:00,1536154
2012/02/12 00:00:00,84036
2012/02/05 00:00:00,88854
2012/01/29 00:00:00,85037
2012/01/22 00:00:00,79259
2012/01/15 00:00:00,83419
2012/01/08 00:00:00,99244
2012/01/01 00:00:00,102349
2011/12/25 00:00:00,25604
2011/12/18 00:00:00,30702
2011/12/11 00:00:00,117944
2011/12/04 00:00:00,175719
2011/11/27 00:00:00,140379
2011/11/20 00:00:00,110354
2011/11/13 00:00:00,95872
2011/11/06 00:00:00,85949
2011/10/30 00:00:00,75857
2011/10/23 00:00:00,86900
2011/10/16 00:00:00,80616
2011/10/09 00:00:00,86363
2011/10/02 00:00:00,10344
2011/09/25 00:00:00,12451
2011/09/18 00:00:00,13067
2011/09/11 00:00:00,13473
2011/09/04 00:00:00,13485
2011/08/28 00:00:00,9975
2011/08/21 00:00:00,13467
2011/08/14 00:00:00,12958
2011/08/07 00:00:00,9546
2011/07/31 00:00:00,13952
2011/07/24 00:00:00,12029
2011/07/17 00:00:00,13508
2011/07/10 00:00:00,13907
2011/07/03 00:00:00,12020
2011/06/26 00:00:00,19167
2011/06/19 00:00:00,12685
2011/06/12 00:00:00,13207
2011/06/05 00:00:00,16946
2011/05/29 00:00:00,16588
2011/05/22 00:00:00,15274
2011/05/15 00:00:00,22240
2011/05/08 00:00:00,16146
2011/05/01 00:00:00,17061
2011/04/24 00:00:00,15679
2011/04/17 00:00:00,13378
2011/04/10 00:00:00,18472
2011/04/03 00:00:00,22265
2011/03/27 00:00:00,17718
2011/03/20 00:00:00,20614
2011/03/13 00:00:00,19257
2011/03/06 00:00:00,42554
2011/02/27 00:00:00,42006
2011/02/20 00:00:00,12379
2011/02/13 00:00:00,22875
2011/02/06 00:00:00,20933
2011/01/30 00:00:00,13833
2011/01/23 00:00:00,25579
2011/01/16 00:00:00,21876
2011/01/09 00:00:00,21237
2011/01/02 00:00:00,18247
2010/12/26 00:00:00,15477
2010/12/19 00:00:00,21710
2010/12/12 00:00:00,20905
2010/12/05 00:00:00,21107
2010/11/28 00:00:00,16838
2010/11/21 00:00:00,22991
2010/11/14 00:00:00,21724
2010/11/07 00:00:00,20423
2010/10/31 00:00:00,13547
2010/10/24 00:00:00,24737
2010/10/17 00:00:00,25912
2010/10/10 00:00:00,24402
2010/10/03 00:00:00,23997
2010/09/26 00:00:00,27549
2010/09/19 00:00:00,20981
2010/09/12 00:00:00,25512
2010/09/05 00:00:00,21805
2010/08/29 00:00:00,26145
2010/08/22 00:00:00,24019
2010/08/15 00:00:00,22331
2010/08/08 00:00:00,24347
2010/08/01 00:00:00,24437
2010/07/25 00:00:00,25149
2010/07/18 00:00:00,26426
2010/07/11 00:00:00,25039
2010/07/04 00:00:00,14819
2010/06/27 00:00:00,7237
2010/06/20 00:00:00,27684
2010/06/13 00:00:00,23624
2010/06/06 00:00:00,26024
2010/05/30 00:00:00,32532
2010/05/23 00:00:00,30717
