1	0	0	0
2	0	0	0
3	0	0	0
4	0	0	0
5	5000	1	0
6	5000	1	0
7	5000	1	0
8	4999	2	0
9	4998	2	1
10	4995	5	1
11	4992	8	1
12	4990	7	4
13	4987	10	4
14	4977	19	5
15	4962	31	8
16	4945	45	11
17	4923	61	17
18	4894	84	23
19	4853	119	29
20	4787	174	40
21	4705	240	56
22	4576	345	80
23	4402	477	122
24	4184	650	167
25	3898	873	230
26	3576	1107	318
27	3160	1421	420
28	2711	1706	584
29	2242	2010	749
30	1802	2266	934
31	1391	2433	1179
32	1084	2475	1445
33	835	2486	1686
34	630	2439	1942
35	473	2363	2186
36	361	2270	2407
37	286	2152	2630
38	227	2039	2850
39	194	1931	3057
40	168	1898	3220
41	143	1937	3376
42	117	2078	3516
43	101	2334	3647
44	89	2718	3794
45	80	3324	3901
46	66	4059	3996
47	61	4788	4089
48	53	5342	4188
49	50	5638	4258
50	48	5616	4318
51	45	5484	4374
52	45	5268	4435
53	43	4998	4491
54	41	4723	4532
55	40	4478	4578
56	38	4261	4626
57	35	4036	4673
58	35	3814	4705
59	34	3607	4729
60	33	3416	4756
61	33	3228	4775
62	33	3060	4794
63	33	2912	4816
64	32	2745	4834
65	32	2620	4844
66	32	2492	4857
67	32	2362	4871
68	32	2250	4880
69	32	2122	4895
70	32	2012	4905
71	32	1907	4909
72	32	1794	4915
73	31	1706	4919
74	31	1602	4923
75	31	1522	4927
76	31	1459	4932
77	30	1394	4933
78	30	1327	4938
79	30	1250	4940
80	30	1190	4941
81	30	1135	4943
82	30	1085	4946
83	30	1033	4955
84	30	980	4958
85	30	910	4958
86	30	874	4958
87	30	823	4958
88	30	786	4959
89	30	741	4962
90	30	702	4965
91	30	653	4966
92	30	623	4967
93	30	592	4968
94	30	570	4968
95	30	543	4968
96	30	518	4968
97	30	493	4968
98	30	469	4968
99	30	455	4968
100	30	431	4968
101	30	407	4968
102	30	389	4970
103	30	368	4970
104	30	347	4970
105	30	327	4970
106	0	309	0
107	0	294	0
108	0	278	0
109	0	268	0
110	0	254	0
111	0	244	0
112	0	233	0
113	0	225	0
114	0	220	0
115	0	206	0
116	0	193	0
117	0	186	0
118	0	178	0
119	0	168	0
120	0	159	0
121	0	153	0
122	0	136	0
123	0	135	0
124	0	125	0
125	0	116	0
126	0	113	0
127	0	106	0
128	0	103	0
129	0	100	0
130	0	100	0
131	0	0	0
132	0	0	0
133	0	0	0
134	0	0	0
135	0	0	0
136	0	0	0
137	0	0	0
138	0	0	0
139	0	0	0
140	0	0	0
141	0	0	0
142	0	0	0
143	0	0	0
144	0	0	0
145	0	0	0
146	0	0	0
147	0	0	0
148	0	0	0
149	0	0	0
150	0	0	0
151	0	0	0
152	0	0	0
153	0	0	0
154	0	0	0
155	0	0	0
156	0	0	0
157	0	0	0
158	0	0	0
159	0	0	0
160	0	0	0
161	0	0	0
162	0	0	0
163	0	0	0
164	0	0	0
165	0	0	0
166	0	0	0
167	0	0	0
168	0	0	0
169	0	0	0
170	0	0	0
171	0	0	0
172	0	0	0
173	0	0	0
174	0	0	0
175	0	0	0
176	0	0	0
177	0	0	0
178	0	0	0
179	0	0	0
180	0	0	0
181	0	0	0
182	0	0	0
183	0	0	0
184	0	0	0
185	0	0	0
186	0	0	0
187	0	0	0
188	0	0	0
189	0	0	0
190	0	0	0
191	0	0	0
192	0	0	0
193	0	0	0
194	0	0	0
195	0	0	0
196	0	0	0
197	0	0	0
198	0	0	0
199	0	0	0
200	0	0	0
