0,1
1,2
2,3
3,5
4,5
5,7
6,12
7,14
8,18
9,20
10,28
11,40
12,55
13,69
14,98
15,118
16,156
17,193
18,227
19,274
20,315
21,378
22,444
23,521
24,574
25,630
26,682
27,723
28,747
29,801
30,816
31,829
32,829
33,835
34,835
35,830
36,829
37,793
38,766
39,738
40,719
41,682
42,661
43,641
44,603
45,583
46,559
47,527
48,507
49,471
50,446
51,437
52,420
53,395
54,379
55,365
56,347
57,333
58,309
59,297
60,284
61,270
62,251
63,236
64,223
65,212
66,202
67,191
68,188
69,183
70,170
71,163
72,156
73,144
74,136
75,132
76,123
77,118
78,111
79,107
80,100
81,94
82,90
83,85
84,84
85,77
86,69
87,64
88,62
89,62
90,60
91,60
92,57
93,53
94,51
95,48
96,46
97,43
98,42
99,39
100,36
101,34
102,33
103,31
104,30
105,29
106,28
107,28
108,28
109,27
110,25
111,25
112,24
113,24
114,22
115,20
116,20
117,19
118,17
119,16
120,13
121,13
122,12
123,11
124,9
125,8
126,8
127,8
128,8
129,8
130,8
131,7
132,7
133,6
134,6
135,6
136,6
137,5
138,4
139,3
140,3
141,3
142,3
143,3
144,3
145,3
146,3
147,3
148,3
149,3
150,3
151,3
152,3
153,3
154,2
155,2
156,2
157,2
158,2
159,2
160,1
161,1
162,1
163,1
164,1
165,1
166,1
167,1
168,1
169,1
170,1
171,1
172,1
173,1
