"Time","Passenger: Plays - YouTube"
2014/08/17 00:00:00,920624
2014/08/16 00:00:00,1031862
2014/08/15 00:00:00,1091935
2014/08/14 00:00:00,1026420
2014/08/13 00:00:00,1047487
2014/08/12 00:00:00,1033084
2014/08/11 00:00:00,998869
2014/08/10 00:00:00,969957
2014/08/09 00:00:00,1051414
2014/08/08 00:00:00,1057516
2014/08/07 00:00:00,1051504
2014/08/06 00:00:00,1060243
2014/08/05 00:00:00,1005347
2014/08/04 00:00:00,984866
2014/08/03 00:00:00,980710
2014/08/02 00:00:00,1023601
2014/08/01 00:00:00,1067098
2014/07/31 00:00:00,1042496
2014/07/30 00:00:00,1068136
2014/07/29 00:00:00,982712
2014/07/28 00:00:00,961720
2014/07/27 00:00:00,941505
2014/07/26 00:00:00,1078969
2014/07/25 00:00:00,1058586
2014/07/24 00:00:00,1001001
2014/07/23 00:00:00,1043534
2014/07/22 00:00:00,1093361
2014/07/21 00:00:00,894900
2014/07/20 00:00:00,935576
2014/07/19 00:00:00,1040357
2014/07/18 00:00:00,1121323
2014/07/17 00:00:00,1058959
2014/07/16 00:00:00,1107048
2014/07/15 00:00:00,1087960
2014/07/14 00:00:00,970809
2014/07/13 00:00:00,961612
2014/07/12 00:00:00,1123986
2014/07/11 00:00:00,1089737
2014/07/10 00:00:00,1041982
2014/07/09 00:00:00,1024450
2014/07/08 00:00:00,1059213
2014/07/07 00:00:00,1021926
2014/07/06 00:00:00,1021929
2014/07/05 00:00:00,1016671
2014/07/04 00:00:00,1068751
2014/07/03 00:00:00,1090579
2014/07/02 00:00:00,1110043
2014/07/01 00:00:00,1077767
2014/06/30 00:00:00,1036045
2014/06/29 00:00:00,1008034
2014/06/28 00:00:00,1087136
2014/06/27 00:00:00,1135597
2014/06/26 00:00:00,1151060
2014/06/25 00:00:00,1108245
2014/06/24 00:00:00,1143301
2014/06/23 00:00:00,1051087
2014/06/22 00:00:00,1098324
2014/06/21 00:00:00,1194377
2014/06/20 00:00:00,1153781
2014/06/19 00:00:00,1199392
2014/06/18 00:00:00,1160415
2014/06/17 00:00:00,1164920
2014/06/16 00:00:00,1030145
2014/06/15 00:00:00,1113026
2014/06/14 00:00:00,1240802
2014/06/13 00:00:00,1275724
2014/06/12 00:00:00,1335328
2014/06/11 00:00:00,1296052
2014/06/10 00:00:00,1047081
2014/06/09 00:00:00,1066520
2014/06/08 00:00:00,1110359
2014/06/07 00:00:00,1304385
2014/06/06 00:00:00,1368059
2014/06/05 00:00:00,1459789
2014/06/04 00:00:00,1355516
2014/06/03 00:00:00,1130177
2014/06/02 00:00:00,1039079
2014/06/01 00:00:00,962512
2014/05/31 00:00:00,1060699
