"Time","Robin Thicke: Downloads - BitTorrent"
2014/08/16 00:00:00,2381
2014/08/15 00:00:00,2352
2014/08/14 00:00:00,2470
2014/08/13 00:00:00,2445
2014/08/12 00:00:00,2492
2014/08/11 00:00:00,2501
2014/08/10 00:00:00,2504
2014/08/09 00:00:00,2535
2014/08/08 00:00:00,2561
2014/08/07 00:00:00,2538
2014/08/06 00:00:00,2574
2014/08/05 00:00:00,2657
2014/08/04 00:00:00,2754
2014/08/03 00:00:00,2567
2014/08/02 00:00:00,2724
2014/08/01 00:00:00,2762
2014/07/31 00:00:00,2604
2014/07/30 00:00:00,2722
2014/07/29 00:00:00,2803
2014/07/28 00:00:00,2812
2014/07/27 00:00:00,2646
2014/07/26 00:00:00,2824
2014/07/25 00:00:00,2773
2014/07/24 00:00:00,2855
2014/07/23 00:00:00,2887
2014/07/22 00:00:00,2785
2014/07/21 00:00:00,2872
2014/07/20 00:00:00,2825
2014/07/19 00:00:00,2769
2014/07/18 00:00:00,2847
2014/07/17 00:00:00,2955
2014/07/16 00:00:00,2891
2014/07/15 00:00:00,2990
2014/07/14 00:00:00,3013
2014/07/13 00:00:00,2888
2014/07/12 00:00:00,2995
2014/07/11 00:00:00,3002
2014/07/10 00:00:00,3130
2014/07/09 00:00:00,3275
2014/07/08 00:00:00,3410
2014/07/07 00:00:00,
2014/07/06 00:00:00,
2014/07/05 00:00:00,
2014/07/04 00:00:00,3455
2014/07/03 00:00:00,3898
2014/07/02 00:00:00,4152
2014/07/01 00:00:00,4429
2014/06/30 00:00:00,3034
2014/06/29 00:00:00,2818
2014/06/28 00:00:00,2768
2014/06/27 00:00:00,2702
2014/06/26 00:00:00,2877
2014/06/25 00:00:00,2683
2014/06/24 00:00:00,2461
2014/06/23 00:00:00,2424
2014/06/22 00:00:00,2367
2014/06/21 00:00:00,2288
2014/06/20 00:00:00,2255
2014/06/19 00:00:00,2454
2014/06/18 00:00:00,2414
2014/06/17 00:00:00,2468
2014/06/16 00:00:00,2442
2014/06/15 00:00:00,2366
2014/06/14 00:00:00,2302
2014/06/13 00:00:00,2349
2014/06/12 00:00:00,1956
2014/06/11 00:00:00,1707
2014/06/10 00:00:00,2496
2014/06/09 00:00:00,2598
2014/06/08 00:00:00,2429
2014/06/07 00:00:00,2520
2014/06/06 00:00:00,2307
2014/06/05 00:00:00,2364
2014/06/04 00:00:00,2571
2014/06/03 00:00:00,2564
2014/06/02 00:00:00,2660
2014/06/01 00:00:00,2569
2014/05/31 00:00:00,2662
2014/05/30 00:00:00,2543
2014/05/29 00:00:00,2593
2014/05/28 00:00:00,2571
2014/05/27 00:00:00,2635
2014/05/26 00:00:00,2510
2014/05/25 00:00:00,2621
2014/05/24 00:00:00,2555
2014/05/23 00:00:00,2516
2014/05/22 00:00:00,2670
2014/05/21 00:00:00,2766
2014/05/20 00:00:00,2684
2014/05/19 00:00:00,2607
