"Time","Ylvis: Downloads - BitTorrent"
2014/01/16 00:00:00,181
2014/01/15 00:00:00,201
2014/01/14 00:00:00,205
2014/01/13 00:00:00,228
2014/01/12 00:00:00,295
2014/01/11 00:00:00,256
2014/01/10 00:00:00,236
2014/01/09 00:00:00,278
2014/01/08 00:00:00,264
2014/01/07 00:00:00,248
2014/01/06 00:00:00,274
2014/01/05 00:00:00,312
2014/01/04 00:00:00,325
2014/01/03 00:00:00,293
2014/01/02 00:00:00,287
2014/01/01 00:00:00,396
2013/12/31 00:00:00,476
2013/12/30 00:00:00,471
2013/12/29 00:00:00,358
2013/12/28 00:00:00,326
2013/12/27 00:00:00,346
2013/12/26 00:00:00,335
2013/12/25 00:00:00,350
2013/12/24 00:00:00,399
2013/12/23 00:00:00,370
2013/12/22 00:00:00,332
2013/12/21 00:00:00,388
2013/12/20 00:00:00,352
2013/12/19 00:00:00,289
2013/12/18 00:00:00,283
2013/12/17 00:00:00,317
2013/12/16 00:00:00,362
2013/12/15 00:00:00,376
2013/12/14 00:00:00,369
2013/12/13 00:00:00,313
2013/12/12 00:00:00,361
2013/12/11 00:00:00,307
2013/12/10 00:00:00,303
2013/12/09 00:00:00,305
2013/12/08 00:00:00,361
2013/12/07 00:00:00,418
2013/12/06 00:00:00,319
2013/12/05 00:00:00,276
2013/12/04 00:00:00,334
2013/12/03 00:00:00,269
2013/12/02 00:00:00,333
2013/12/01 00:00:00,326
2013/11/30 00:00:00,372
2013/11/29 00:00:00,367
2013/11/28 00:00:00,327
2013/11/27 00:00:00,329
2013/11/26 00:00:00,276
2013/11/25 00:00:00,339
2013/11/24 00:00:00,334
2013/11/23 00:00:00,411
2013/11/22 00:00:00,322
2013/11/21 00:00:00,303
2013/11/20 00:00:00,317
2013/11/19 00:00:00,326
2013/11/18 00:00:00,361
2013/11/17 00:00:00,381
2013/11/16 00:00:00,413
2013/11/15 00:00:00,334
2013/11/14 00:00:00,358
2013/11/13 00:00:00,220
2013/11/12 00:00:00,347
2013/11/11 00:00:00,425
2013/11/10 00:00:00,401
2013/11/09 00:00:00,428
2013/11/08 00:00:00,447
2013/11/07 00:00:00,371
2013/11/06 00:00:00,289
2013/11/05 00:00:00,378
2013/11/04 00:00:00,253
2013/11/03 00:00:00,416
2013/11/02 00:00:00,482
2013/11/01 00:00:00,437
2013/10/31 00:00:00,384
2013/10/30 00:00:00,291
2013/10/29 00:00:00,376
2013/10/28 00:00:00,308
2013/10/27 00:00:00,390
2013/10/26 00:00:00,448
2013/10/25 00:00:00,361
2013/10/24 00:00:00,345
2013/10/23 00:00:00,262
2013/10/22 00:00:00,111
2013/10/21 00:00:00,22
2013/10/20 00:00:00,87
2013/10/19 00:00:00,261
2013/10/18 00:00:00,15
2013/10/17 00:00:00,13
2013/10/16 00:00:00,22
2013/10/15 00:00:00,13
2013/10/14 00:00:00,20
2013/10/13 00:00:00,13
2013/10/12 00:00:00,14
2013/10/11 00:00:00,18
2013/10/10 00:00:00,20
2013/10/09 00:00:00,103
2013/10/08 00:00:00,66
2013/10/07 00:00:00,95
2013/10/06 00:00:00,28
2013/10/05 00:00:00,37
2013/10/04 00:00:00,31
2013/10/03 00:00:00,42
2013/10/02 00:00:00,0
2013/10/01 00:00:00,0
2013/09/30 00:00:00,17
2013/09/29 00:00:00,28
2013/09/28 00:00:00,18
2013/09/27 00:00:00,11
2013/09/26 00:00:00,0
2013/09/25 00:00:00,33
2013/09/24 00:00:00,0
2013/09/23 00:00:00,19
2013/09/22 00:00:00,7
