"Time","Miley Cyrus: Downloads - BitTorrent"
2014/08/16 00:00:00,10682
2014/08/15 00:00:00,10694
2014/08/14 00:00:00,11512
2014/08/13 00:00:00,11206
2014/08/12 00:00:00,11214
2014/08/11 00:00:00,11495
2014/08/10 00:00:00,11357
2014/08/09 00:00:00,11220
2014/08/08 00:00:00,11207
2014/08/07 00:00:00,11087
2014/08/06 00:00:00,11825
2014/08/05 00:00:00,11584
2014/08/04 00:00:00,11940
2014/08/03 00:00:00,10808
2014/08/02 00:00:00,11749
2014/08/01 00:00:00,11759
2014/07/31 00:00:00,11428
2014/07/30 00:00:00,11660
2014/07/29 00:00:00,12446
2014/07/28 00:00:00,12318
2014/07/27 00:00:00,11885
2014/07/26 00:00:00,12276
2014/07/25 00:00:00,12527
2014/07/24 00:00:00,12902
2014/07/23 00:00:00,11581
2014/07/22 00:00:00,11554
2014/07/21 00:00:00,11896
2014/07/20 00:00:00,11375
2014/07/19 00:00:00,11558
2014/07/18 00:00:00,11850
2014/07/17 00:00:00,12186
2014/07/16 00:00:00,11904
2014/07/15 00:00:00,12173
2014/07/14 00:00:00,12370
2014/07/13 00:00:00,11867
2014/07/12 00:00:00,12257
2014/07/11 00:00:00,12067
2014/07/10 00:00:00,12773
2014/07/09 00:00:00,12584
2014/07/08 00:00:00,14088
2014/07/07 00:00:00,
2014/07/06 00:00:00,
2014/07/05 00:00:00,
2014/07/04 00:00:00,11832
2014/07/03 00:00:00,12422
2014/07/02 00:00:00,12401
2014/07/01 00:00:00,12864
2014/06/30 00:00:00,12597
2014/06/29 00:00:00,12108
2014/06/28 00:00:00,11937
2014/06/27 00:00:00,12267
2014/06/26 00:00:00,12367
2014/06/25 00:00:00,12946
2014/06/24 00:00:00,12798
2014/06/23 00:00:00,12882
2014/06/22 00:00:00,12737
2014/06/21 00:00:00,12623
2014/06/20 00:00:00,12334
2014/06/19 00:00:00,13076
2014/06/18 00:00:00,12935
2014/06/17 00:00:00,13196
2014/06/16 00:00:00,13220
2014/06/15 00:00:00,12491
2014/06/14 00:00:00,11832
2014/06/13 00:00:00,13273
2014/06/12 00:00:00,10497
2014/06/11 00:00:00,9107
2014/06/10 00:00:00,12963
2014/06/09 00:00:00,13081
2014/06/08 00:00:00,13005
2014/06/07 00:00:00,12927
2014/06/06 00:00:00,12705
2014/06/05 00:00:00,13363
2014/06/04 00:00:00,13683
2014/06/03 00:00:00,13635
2014/06/02 00:00:00,13634
2014/06/01 00:00:00,13608
2014/05/31 00:00:00,13559
2014/05/30 00:00:00,13353
2014/05/29 00:00:00,14203
2014/05/28 00:00:00,14053
2014/05/27 00:00:00,14162
2014/05/26 00:00:00,13395
2014/05/25 00:00:00,13956
2014/05/24 00:00:00,14106
2014/05/23 00:00:00,14398
2014/05/22 00:00:00,14325
2014/05/21 00:00:00,14054
2014/05/20 00:00:00,14284
2014/05/19 00:00:00,14159
2014/05/18 00:00:00,14173
2014/05/17 00:00:00,14170
2014/05/16 00:00:00,13658
2014/05/15 00:00:00,14174
2014/05/14 00:00:00,14136
2014/05/13 00:00:00,14509
2014/05/12 00:00:00,14530
2014/05/11 00:00:00,15305
2014/05/10 00:00:00,14736
2014/05/09 00:00:00,14160
2014/05/08 00:00:00,14619
