"Time","Ylvis: Downloads - BitTorrent"
2014/08/10 00:00:00,487
2014/08/03 00:00:00,547
2014/07/27 00:00:00,650
2014/07/20 00:00:00,533
2014/07/13 00:00:00,423
2014/07/06 00:00:00,481
2014/06/29 00:00:00,321
2014/06/22 00:00:00,478
2014/06/15 00:00:00,515
2014/06/08 00:00:00,451
2014/06/01 00:00:00,539
2014/05/25 00:00:00,565
2014/05/18 00:00:00,591
2014/05/11 00:00:00,666
2014/05/04 00:00:00,703
2014/04/27 00:00:00,607
2014/04/20 00:00:00,610
2014/04/13 00:00:00,628
2014/04/06 00:00:00,660
2014/03/30 00:00:00,664
2014/03/23 00:00:00,853
2014/03/16 00:00:00,854
2014/03/09 00:00:00,929
2014/03/02 00:00:00,1002
2014/02/23 00:00:00,1022
2014/02/16 00:00:00,1002
2014/02/09 00:00:00,1126
2014/02/02 00:00:00,1283
2014/01/26 00:00:00,1326
2014/01/19 00:00:00,1374
2014/01/12 00:00:00,1485
2014/01/05 00:00:00,1851
2013/12/29 00:00:00,2560
2013/12/22 00:00:00,2484
2013/12/15 00:00:00,2323
2013/12/08 00:00:00,
2013/12/01 00:00:00,
2013/11/24 00:00:00,
2013/11/17 00:00:00,2374
2013/11/10 00:00:00,2478
2013/11/03 00:00:00,2567
2013/10/27 00:00:00,2694
2013/10/20 00:00:00,1939
2013/10/13 00:00:00,431
2013/10/06 00:00:00,329
2013/09/29 00:00:00,155
2013/09/22 00:00:00,109
2013/09/15 00:00:00,60
2013/09/08 00:00:00,76
