"Time","Passenger: Plays - YouTube"
2011/09/11 00:00:00,6491
2011/09/04 00:00:00,7201
2011/08/28 00:00:00,7191
2011/08/21 00:00:00,6554
2011/08/14 00:00:00,8524
2011/08/07 00:00:00,7166
2011/07/31 00:00:00,7122
2011/07/24 00:00:00,9846
2011/07/17 00:00:00,4472
2011/07/10 00:00:00,2874
2011/07/03 00:00:00,5487
2011/06/26 00:00:00,5102
2011/06/19 00:00:00,4725
2011/06/12 00:00:00,5376
2011/06/05 00:00:00,4830
2011/05/29 00:00:00,5049
2011/05/22 00:00:00,5572
2011/05/15 00:00:00,5509
2011/05/08 00:00:00,6086
2011/05/01 00:00:00,5736
2011/04/24 00:00:00,5506
2011/04/17 00:00:00,4648
2011/04/10 00:00:00,6438
2011/04/03 00:00:00,7537
2011/03/27 00:00:00,6977
2011/03/20 00:00:00,6907
2011/03/13 00:00:00,6797
2011/03/06 00:00:00,9504
2011/02/27 00:00:00,7920
2011/02/20 00:00:00,7939
2011/02/13 00:00:00,8737
2011/02/06 00:00:00,7390
2011/01/30 00:00:00,6177
2011/01/23 00:00:00,7091
2011/01/16 00:00:00,7076
2011/01/09 00:00:00,7098
2011/01/02 00:00:00,7679
2010/12/26 00:00:00,5639
2010/12/19 00:00:00,6291
2010/12/12 00:00:00,6919
2010/12/05 00:00:00,7239
2010/11/28 00:00:00,8416
2010/11/21 00:00:00,7315
2010/11/14 00:00:00,6892
2010/11/07 00:00:00,6992
2010/10/31 00:00:00,6496
2010/10/24 00:00:00,6470
2010/10/17 00:00:00,6443
2010/10/10 00:00:00,7174
2010/10/03 00:00:00,6424
2010/09/26 00:00:00,6583
2010/09/19 00:00:00,6615
2010/09/12 00:00:00,5930
2010/09/05 00:00:00,5535
2010/08/29 00:00:00,5345
2010/08/22 00:00:00,4229
2010/08/15 00:00:00,4335
2010/08/08 00:00:00,4082
2010/08/01 00:00:00,4464
2010/07/25 00:00:00,4645
2010/07/18 00:00:00,4897
2010/07/11 00:00:00,3588
2010/07/04 00:00:00,3783
2010/06/27 00:00:00,5202
2010/06/20 00:00:00,3530
2010/06/13 00:00:00,3426
2010/06/06 00:00:00,2795
2010/05/30 00:00:00,2609
2010/05/23 00:00:00,3011
2010/05/16 00:00:00,3081
2010/05/09 00:00:00,3415
2010/05/02 00:00:00,3041
2010/04/25 00:00:00,4422
2010/04/18 00:00:00,1771
2010/04/11 00:00:00,2502
2010/04/04 00:00:00,2794
2010/03/28 00:00:00,3041
2010/03/21 00:00:00,3092
2010/03/14 00:00:00,2882
