t,I
1,846
2,1359
3,2034
4,3423
5,4589
6,5936
7,6510
8,6512
9,6952
10,5981
11,5167
12,4077
13,3125
14,2457
15,2136
16,1848
17,1680
18,1496
19,1269
20,1007
21,898
22,643
23,459
24,380
25,302
26,234
27,182
28,164
29,150
30,132
31,127
32,123
33,89
34,73
35,79
36,56
37,53
38,67
39,50
40,39
